,airport,timezone
620,BDT,Africa/Kinshasa
621,BDU,Europe/Oslo
622,BDV,Africa/Lubumbashi
623,BDW,Australia/Perth
624,BDX,America/Denver
625,BDY,America/Los_Angeles
626,BDZ,Pacific/Port_Moresby
627,BEA,Pacific/Port_Moresby
628,BEB,Europe/London
629,BEC,America/Chicago
630,BED,America/New_York
631,BEE,Australia/Perth
632,BEF,America/Managua
633,BEG,Europe/Belgrade
634,BEH,America/Detroit
635,BEI,Africa/Addis_Ababa
636,BEJ,Asia/Makassar
637,BEK,Asia/Kolkata
638,BEL,America/Belem
639,BEM,Africa/Casablanca
640,BEN,Africa/Tripoli
641,BEO,Australia/Sydney
642,BEP,Asia/Kolkata
643,BEQ,Europe/London
644,BER,Europe/Berlin
645,BES,Europe/Paris
646,BET,America/Anchorage
647,BEU,Australia/Brisbane
648,BEV,Asia/Jerusalem
649,BEW,Africa/Maputo
650,BEX,Europe/London
651,BEY,Asia/Beirut
652,BEZ,Pacific/Tarawa
653,BFA,America/Asuncion
654,BFC,Australia/Brisbane
655,BFD,America/New_York
656,BFE,Europe/Berlin
657,BFF,America/Denver
658,BFG,America/Denver
659,BFH,America/Sao_Paulo
660,BFI,America/Los_Angeles
661,BFJ,Asia/Shanghai
662,BFK,America/Denver
663,BFL,America/Los_Angeles
664,BFM,America/Chicago
665,BFN,Africa/Johannesburg
666,BFO,Africa/Harare
667,BFP,America/New_York
668,BFQ,America/Panama
669,BFR,America/Indiana/Indianapolis
670,BFS,Europe/London
671,BFT,America/New_York
672,BFU,Asia/Shanghai
673,BFV,Asia/Bangkok
674,BFW,Africa/Algiers
675,BFX,Africa/Douala
676,BGA,America/Bogota
677,BGB,Africa/Libreville
678,BGC,Europe/Lisbon
679,BGD,America/Chicago
680,BGE,America/New_York
681,BGF,Africa/Bangui
682,BGG,Europe/Istanbul
683,BGH,Africa/Nouakchott
684,BGI,America/Barbados
685,BGJ,Atlantic/Reykjavik
686,BGK,America/Belize
687,BGL,Asia/Kathmandu
688,BGM,America/New_York
689,BGN,Asia/Magadan
690,BGO,Europe/Oslo
691,BGP,Africa/Libreville
692,BGQ,America/Anchorage
693,BGR,America/New_York
694,BGT,America/Phoenix
695,BGU,Africa/Bangui
696,BGV,America/Sao_Paulo
697,BGW,Asia/Baghdad
698,BGX,America/Sao_Paulo
699,BGY,Europe/Rome
700,BGZ,Europe/Lisbon
701,BHA,America/Guayaquil
702,BHB,America/New_York
703,BHD,Europe/London
704,BHE,Pacific/Auckland
705,BHF,America/Bogota
706,BHG,America/Tegucigalpa
707,BHH,Asia/Riyadh
708,BHI,America/Argentina/Buenos_Aires
709,BHJ,Asia/Kolkata
710,BHK,Asia/Samarkand
711,BHL,America/Tijuana
712,BHM,America/Chicago
713,BHN,Asia/Aden
714,BHO,Asia/Kolkata
715,BHP,Asia/Kathmandu
716,BHQ,Australia/Broken_Hill
717,BHR,Asia/Kathmandu
718,BHS,Australia/Sydney
719,BHT,Australia/Brisbane
720,BHU,Asia/Kolkata
721,BHV,Asia/Karachi
722,BHW,Asia/Karachi
723,BHX,Europe/London
724,BHY,Asia/Shanghai
725,BHZ,America/Sao_Paulo
726,BIA,Europe/Paris
727,BIB,Africa/Mogadishu
728,BID,America/New_York
729,BIE,America/Chicago
730,BIF,America/Denver
731,BIG,America/Anchorage
732,BIH,America/Los_Angeles
733,BII,Pacific/Kwajalein
734,BIJ,Pacific/Port_Moresby
735,BIK,Asia/Jayapura
736,BIL,America/Denver
737,BIM,America/Nassau
738,BIN,Asia/Kabul
739,BIO,Europe/Madrid
740,BIP,Australia/Brisbane
741,BIQ,Europe/Paris
742,BIR,Asia/Kathmandu
743,BIS,America/Chicago
744,BIT,Asia/Kathmandu
745,BIU,Atlantic/Reykjavik
746,BIV,Africa/Bangui
747,BIW,Australia/Perth
748,BIX,America/Chicago
749,BIY,Africa/Johannesburg
750,BIZ,Pacific/Port_Moresby
751,BJA,Africa/Algiers
752,BJB,Asia/Tehran
753,BJC,America/Denver
754,BJD,Atlantic/Reykjavik
755,BJE,Africa/Khartoum
756,BJF,Europe/Oslo
757,BJG,Asia/Makassar
758,BJH,Asia/Kathmandu
759,BJI,America/Chicago
760,BJJ,America/New_York
761,BJK,Asia/Jayapura
762,BJL,Africa/Banjul
763,BJM,Africa/Bujumbura
764,BJN,Africa/Maputo
765,BJO,America/La_Paz
766,BJP,America/Sao_Paulo
767,BJQ,Asia/Muscat
768,BJR,Africa/Addis_Ababa
769,BJS,Asia/Shanghai
770,BJT,Asia/Colombo
771,BJU,Asia/Kathmandu
772,BJV,Europe/Istanbul
773,BJW,Asia/Makassar
774,BJX,America/Mexico_City
775,BJY,Europe/Belgrade
776,BJZ,Europe/Madrid
777,BKB,Asia/Kolkata
778,BKC,America/Anchorage
779,BKD,America/Chicago
780,BKE,America/Los_Angeles
781,BKF,America/Anchorage
782,BKG,America/Chicago
783,BKH,Pacific/Honolulu
784,BKI,Asia/Kuching
785,BKJ,Africa/Conakry
786,BKK,Asia/Bangkok
787,BKL,America/New_York
788,BKM,Asia/Kuching
789,BKN,Asia/Ashgabat
790,BKO,Africa/Bamako
791,BKP,Australia/Brisbane
792,BKQ,Australia/Brisbane
793,BKR,Africa/Ndjamena
794,BKS,Asia/Jakarta
795,BKT,America/New_York
796,BKU,Indian/Antananarivo
797,BKV,Asia/Shanghai
798,BKW,America/New_York
799,BKX,America/Chicago
800,BKY,Africa/Lubumbashi
801,BKZ,Africa/Dar_es_Salaam
802,BLA,America/Caracas
803,BLB,America/Panama
804,BLC,Africa/Douala
805,BLD,America/Los_Angeles
806,BLE,Europe/Stockholm
807,BLF,America/New_York
808,BLG,Asia/Kuching
809,BLH,America/Los_Angeles
810,BLI,America/Los_Angeles
811,BLJ,Africa/Algiers
812,BLK,Europe/London
813,BLL,Europe/Copenhagen
814,BLM,America/New_York
815,BLN,Australia/Melbourne
816,BLO,Atlantic/Reykjavik
817,BLP,America/Lima
818,BLQ,Europe/Rome
819,BLR,Asia/Kolkata
820,BLS,Australia/Brisbane
821,BLT,Australia/Brisbane
822,BLU,America/Los_Angeles
823,BLV,America/Chicago
824,BLW,Africa/Mogadishu
825,BLX,Europe/Rome
826,BLY,Europe/Dublin
827,BLZ,Africa/Blantyre
828,BMA,Europe/Stockholm
829,BMB,Africa/Kinshasa
830,BMC,America/Denver
831,BMD,Indian/Antananarivo
832,BME,Australia/Perth
833,BMF,Africa/Bangui
834,BMG,America/Indiana/Indianapolis
835,BMH,Pacific/Port_Moresby
836,BMI,America/Chicago
837,BMJ,America/Guyana
838,BMK,Europe/Berlin
839,BML,America/New_York
840,BMM,Africa/Libreville
841,BMN,Asia/Baghdad
842,BMO,Asia/Yangon
843,BMP,Australia/Brisbane
844,BMQ,Africa/Nairobi
845,BMR,Europe/Berlin
846,BMS,America/Bahia
847,BMT,America/Chicago
848,BMU,Asia/Makassar
849,BMV,Asia/Ho_Chi_Minh
850,BMW,Africa/Algiers
851,BMX,America/Anchorage
852,BMY,Pacific/Noumea
853,BMZ,Pacific/Port_Moresby
854,BNA,America/Chicago
855,BNB,Africa/Kinshasa
856,BNC,Africa/Lubumbashi
857,BND,Asia/Tehran
858,BNE,Australia/Brisbane
859,BNF,America/Sitka
860,BNG,America/Los_Angeles
861,BNH,America/New_York
862,BNI,Africa/Lagos
863,BNK,Australia/Sydney
864,BNL,America/New_York
865,BNM,Pacific/Port_Moresby
866,BNN,Europe/Oslo
867,BNO,America/Los_Angeles
868,BNP,Asia/Karachi
869,BNQ,Asia/Manila
870,BNR,Africa/Ouagadougou
871,BNS,America/Caracas
872,BNT,Pacific/Port_Moresby
873,BNU,America/Sao_Paulo
874,BNV,Pacific/Port_Moresby
875,BNW,America/Chicago
876,BNX,Europe/Sarajevo
877,BNY,Pacific/Guadalcanal
878,BNZ,Pacific/Port_Moresby
879,BOA,Africa/Kinshasa
880,BOB,Pacific/Tahiti
881,BOC,America/Panama
882,BOD,Europe/Paris
883,BOE,Africa/Brazzaville
884,BOG,America/Bogota
885,BOH,Europe/London
886,BOI,America/Boise
887,BOJ,Europe/Sofia
888,BOK,America/Los_Angeles
889,BOL,Europe/London
890,BOM,Asia/Kolkata
891,BON,America/Kralendijk
892,BOO,Europe/Oslo
893,BOP,Africa/Bangui
894,BOQ,Pacific/Port_Moresby
895,BOS,America/New_York
896,BOT,Pacific/Port_Moresby
897,BOU,Europe/Paris
898,BOV,Pacific/Port_Moresby
899,BOW,America/New_York
900,BOX,Australia/Darwin
901,BOY,Africa/Ouagadougou
902,BOZ,Africa/Bangui
903,BPB,Pacific/Port_Moresby
904,BPC,Africa/Douala
905,BPD,Pacific/Port_Moresby
906,BPE,Asia/Shanghai
907,BPF,Pacific/Guadalcanal
908,BPG,America/Cuiaba
909,BPH,Asia/Manila
910,BPI,America/Denver
911,BPK,Pacific/Port_Moresby
912,BPL,Asia/Shanghai
913,BPM,Asia/Kolkata
914,BPN,Asia/Makassar
915,BPS,America/Bahia
916,BPT,America/Chicago
917,BPX,Asia/Urumqi
918,BPY,Indian/Antananarivo
919,BQA,Asia/Manila
